Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,uxjudge4,purdueironhack+uxjudge4@gmail.com,60,37.5,0,- - -,- - -,74.29,57.14,0,3rd Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,75,79.07,- - -,- - -,- - -,3rd Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,41.67,75,- - -,- - -,17.14,60,82.86,3rd Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,100,95.35,- - -,- - -,- - -,3rd Phase
annipi,Bogota-Hack-0-2017,annipi,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,50,0,- - -,- - -,17.14,77.14,0,3rd Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
katherinsb,Bogota-Hack-0-2017,katherinsb,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,45.83,0,- - -,- - -,17.14,71.43,0,3rd Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,37.5,32.56,- - -,- - -,- - -,3rd Phase
DglyP,Bogota-Hack-0-2017,DglyP,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,40,50,0,- - -,- - -,62.86,77.14,0,3rd Phase
DglyP,Bogota-Hack-0-2017,DglyP,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
jdsolanos,Bogota-Hack-0-2017,jdsolanos,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
jcneivaa,Bogota-Hack-0-2017,jcneivaa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
fmbernalb,Bogota-Hack-0-2017,fmbernalb,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
cap182,Bogota-Hack-0-2017,cap182,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,0,- - -,- - -,17.14,17.14,0,3rd Phase
cap182,Bogota-Hack-0-2017,cap182,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
MogGy94,Bogota-Hack-0-2017,MogGy94,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
annumunozme,Bogota-Hack-0-2017,annumumozme,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
annumunozme,Bogota-Hack-0-2017,annumumozme,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,0,0,0,- - -,- - -,0,0,0,3rd Phase
Judgarciani,Bogota-Hack-0-2017,Judgarciani,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,80,79.17,0,- - -,- - -,94.29,97.14,0,3rd Phase
Judgarciani,Bogota-Hack-0-2017,Judgarciani,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
sacastroc,Bogota-Hack-0-2017,sacastroc,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,62.5,- - -,- - -,17.14,37.14,62.86,3rd Phase
sacastroc,Bogota-Hack-0-2017,sacastroc,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,100,95.35,- - -,- - -,- - -,3rd Phase
pcberriop,Bogota-Hack-0-2017,pcberriop,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,62.5,- - -,- - -,17.14,37.14,62.86,3rd Phase
pcberriop,Bogota-Hack-0-2017,pcberriop,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
hsmartineza,Bogota-Hack-0-2017,hsmartineza,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,60,45.83,75,- - -,- - -,74.29,71.43,82.86,3rd Phase
hsmartineza,Bogota-Hack-0-2017,hsmartineza,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
yocuervoc,Bogota-Hack-0-2017,yocuervoc,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
Moimolcp,Bogota-Hack-0-2017,Moimolcp,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,62.5,25,- - -,- - -,17.14,94.29,48.57,3rd Phase
Moimolcp,Bogota-Hack-0-2017,Moimolcp,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,62.5,60.47,- - -,- - -,- - -,3rd Phase
CamiloRueda,Bogota-Hack-0-2017,CamiloRueda,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,0,25,0,- - -,- - -,0,5.71,0,3rd Phase
CamiloRueda,Bogota-Hack-0-2017,CamiloRueda,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,25.58,- - -,- - -,- - -,3rd Phase
juanescai,Bogota-Hack-0-2017,juanescai,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,41.67,0,- - -,- - -,17.14,60,0,3rd Phase
juanescai,Bogota-Hack-0-2017,juanescai,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
JoseMolano,Bogota-Hack-0-2017,JoseMolano,uxjudge5,purdueironhack+uxjudge5@gmail.com,60,41.67,100,- - -,- - -,74.29,60,94.29,3rd Phase
JoseMolano,Bogota-Hack-0-2017,JoseMolano,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,90.7,- - -,- - -,- - -,3rd Phase
maikellPardoA,Bogota-Hack-0-2017,maikellPardoA,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,33.33,25,- - -,- - -,0,37.14,48.57,3rd Phase
maikellPardoA,Bogota-Hack-0-2017,maikellPardoA,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,25,25.58,- - -,- - -,- - -,3rd Phase
NicolasZon,Bogota-Hack-0-2017,NicolasZon,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,25,25,- - -,- - -,0,5.71,48.57,3rd Phase
NicolasZon,Bogota-Hack-0-2017,NicolasZon,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,37.5,32.56,- - -,- - -,- - -,3rd Phase
camilo654,Bogota-Hack-0-2017,camilo654,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,62.5,- - -,- - -,17.14,17.14,62.86,3rd Phase
camilo654,Bogota-Hack-0-2017,camilo654,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,41.86,- - -,- - -,- - -,3rd Phase
CristianLozano,Bogota-Hack-0-2017,CristianLozano,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,0,- - -,- - -,17.14,17.14,0,3rd Phase
CristianLozano,Bogota-Hack-0-2017,CristianLozano,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,32.56,- - -,- - -,- - -,3rd Phase
jdsuarezj,Bogota-Hack-0-2017,jdsuarezj,uxjudge5,purdueironhack+uxjudge5@gmail.com,60,58.33,100,- - -,- - -,74.29,88.57,94.29,3rd Phase
jdsuarezj,Bogota-Hack-0-2017,jdsuarezj,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,79.07,- - -,- - -,- - -,3rd Phase
