Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,37.5,0,- - -,- - -,27.03,51.35,0,3rd Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,38.46,- - -,- - -,- - -,3rd Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,27.03,0,0,3rd Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,23.08,- - -,- - -,- - -,3rd Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,25,25,- - -,- - -,27.03,0,37.84,3rd Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,25,7.69,- - -,- - -,- - -,3rd Phase
HashNick,Bogota-Hack-2-2017,HashNick,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,45.83,0,- - -,- - -,27.03,64.86,0,3rd Phase
HashNick,Bogota-Hack-2-2017,HashNick,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10.26,- - -,- - -,- - -,3rd Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,80,50,87.5,- - -,- - -,83.78,72.97,89.19,3rd Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,79.49,- - -,- - -,- - -,3rd Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,70.83,87.5,- - -,- - -,70.27,94.59,89.19,3rd Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,61.54,- - -,- - -,- - -,3rd Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,33.33,25,- - -,- - -,0,27.03,37.84,3rd Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,75,61.54,- - -,- - -,- - -,3rd Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,54.17,0,- - -,- - -,27.03,78.38,0,3rd Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10.26,- - -,- - -,- - -,3rd Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,27.03,0,0,3rd Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
sagilm,Bogota-Hack-2-2017,sagilm,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,0,33.33,62.5,- - -,- - -,0,27.03,64.86,3rd Phase
sagilm,Bogota-Hack-2-2017,sagilm,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,23.08,- - -,- - -,- - -,3rd Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,uxjudge5,purdueironhack+uxjudge5@gmail.com,60,58.33,0,- - -,- - -,70.27,83.78,0,3rd Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10.26,- - -,- - -,- - -,3rd Phase
raulramirezp,Bogota-Hack-2-2017,raulramirezp,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,40,33.33,75,- - -,- - -,62.16,27.03,72.97,3rd Phase
raulramirezp,Bogota-Hack-2-2017,raulramirezp,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,61.54,- - -,- - -,- - -,3rd Phase
tres-iqus,Bogota-Hack-2-2017,tres-iqus,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,3rd Phase
fabianr23,Bogota-Hack-2-2017,fabianr23,uxjudge5,purdueironhack+uxjudge5@gmail.com,100,70.83,87.5,- - -,- - -,89.19,94.59,89.19,3rd Phase
fabianr23,Bogota-Hack-2-2017,fabianr23,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,100,97.44,- - -,- - -,- - -,3rd Phase
jhriverasa,Bogota-Hack-2-2017,jhriverasa,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,100,50,75,- - -,- - -,89.19,72.97,72.97,3rd Phase
jhriverasa,Bogota-Hack-2-2017,jhriverasa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,79.49,- - -,- - -,- - -,3rd Phase
