Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
lemartinp,Bogota-Hack-3-2017,lemartinp,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,40,29.17,0,- - -,- - -,64.86,18.92,0,2nd Phase
lemartinp,Bogota-Hack-3-2017,lemartinp,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,39.02,- - -,- - -,- - -,2nd Phase
juligarji,Bogota-Hack-3-2017,juligarji,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,40,45.83,68.75,- - -,- - -,64.86,72.97,81.08,2nd Phase
juligarji,Bogota-Hack-3-2017,juligarji,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,80.49,- - -,- - -,- - -,2nd Phase
nfmorenog,Bogota-Hack-3-2017,nfmorenog,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,33.33,25,- - -,- - -,0,35.14,48.65,2nd Phase
nfmorenog,Bogota-Hack-3-2017,nfmorenog,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,75,65.85,- - -,- - -,- - -,2nd Phase
AFelipeGA,Bogota-Hack-3-2017,AFelipeGA,uxjudge4,purdueironhack+uxjudge4@gmail.com,40,37.5,0,- - -,- - -,64.86,62.16,0,2nd Phase
AFelipeGA,Bogota-Hack-3-2017,AFelipeGA,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,65.85,- - -,- - -,- - -,2nd Phase
mballeng91,Bogota-Hack-3-2017,mballeng91,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,25,25,- - -,- - -,0,2.7,48.65,2nd Phase
mballeng91,Bogota-Hack-3-2017,mballeng91,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,50,12.2,- - -,- - -,- - -,2nd Phase
dduartec,Bogota-Hack-3-2017,dduartec,uxjudge5,purdueironhack+uxjudge5@gmail.com,100,70.83,75,- - -,- - -,94.59,97.3,83.78,2nd Phase
dduartec,Bogota-Hack-3-2017,dduartec,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,87.5,80.49,- - -,- - -,- - -,2nd Phase
srmedinac,Bogota-Hack-3-2017,srmedinac,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,0,- - -,- - -,16.22,35.14,0,2nd Phase
srmedinac,Bogota-Hack-3-2017,srmedinac,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,39.02,- - -,- - -,- - -,2nd Phase
wilson911013,Bogota-Hack-3-2017,wilson911013,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,33.33,0,- - -,- - -,16.22,35.14,0,2nd Phase
