Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,29.17,50,- - -,- - -,11.43,11.43,42.86,5th Phase
fffeelipe,Bogota-Hack-0-2017,fffeelipe,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,100,82.93,- - -,- - -,- - -,5th Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,60,75,67.5,- - -,- - -,62.86,97.14,71.43,5th Phase
mnguzmanc,Bogota-Hack-0-2017,mnguzmanc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,87.5,78.05,- - -,- - -,- - -,5th Phase
annipi,Bogota-Hack-0-2017,annipi,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,uxjudge5,purdueironhack+uxjudge5@gmail.com,100,54.17,25,- - -,- - -,88.57,68.57,20,5th Phase
jmcuestasb,Bogota-Hack-0-2017,jmcuestasb,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,46.34,- - -,- - -,- - -,5th Phase
katherinsb,Bogota-Hack-0-2017,katherinsb,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,37.5,16.67,- - -,- - -,11.43,48.57,17.14,5th Phase
katherinsb,Bogota-Hack-0-2017,katherinsb,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,62.5,36.59,- - -,- - -,- - -,5th Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,uxjudge5,purdueironhack+uxjudge5@gmail.com,60,58.33,87.5,- - -,- - -,62.86,74.29,91.43,5th Phase
jjrodriguezn,Bogota-Hack-0-2017,jjrodriguezn,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,50,29.27,- - -,- - -,- - -,5th Phase
DglyP,Bogota-Hack-0-2017,DglyP,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,20,25,50,- - -,- - -,11.43,0,42.86,5th Phase
DglyP,Bogota-Hack-0-2017,DglyP,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,100,82.93,- - -,- - -,- - -,5th Phase
jdsolanos,Bogota-Hack-0-2017,jdsolanos,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
jcneivaa,Bogota-Hack-0-2017,jcneivaa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
fmbernalb,Bogota-Hack-0-2017,fmbernalb,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
cap182,Bogota-Hack-0-2017,cap182,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,0,- - -,- - -,11.43,11.43,0,5th Phase
cap182,Bogota-Hack-0-2017,cap182,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
MogGy94,Bogota-Hack-0-2017,MogGy94,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,5th Phase
annumunozme,Bogota-Hack-0-2017,annumumozme,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,100,82.93,- - -,- - -,- - -,5th Phase
annumunozme,Bogota-Hack-0-2017,annumumozme,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,40,37.5,60,- - -,- - -,54.29,48.57,54.29,5th Phase
Judgarciani,Bogota-Hack-0-2017,Judgarciani,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,100,58.33,66.67,- - -,- - -,88.57,74.29,65.71,5th Phase
Judgarciani,Bogota-Hack-0-2017,Judgarciani,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,100,82.93,- - -,- - -,- - -,5th Phase
sacastroc,Bogota-Hack-0-2017,sacastroc,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,50,68.75,- - -,- - -,11.43,60,74.29,5th Phase
sacastroc,Bogota-Hack-0-2017,sacastroc,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,87.5,78.05,- - -,- - -,- - -,5th Phase
pcberriop,Bogota-Hack-0-2017,pcberriop,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,37.5,62.5,- - -,- - -,11.43,48.57,60,5th Phase
pcberriop,Bogota-Hack-0-2017,pcberriop,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,46.34,- - -,- - -,- - -,5th Phase
hsmartineza,Bogota-Hack-0-2017,hsmartineza,purdueironhack+uxjudge9@gmail.com,purdueironhack+uxjudge9@gmail.com,20,33.33,52.5,- - -,- - -,11.43,31.43,48.57,5th Phase
hsmartineza,Bogota-Hack-0-2017,hsmartineza,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,75,46.34,- - -,- - -,- - -,5th Phase
Moimolcp,Bogota-Hack-0-2017,Moimolcp,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,100,62.5,66.67,- - -,- - -,88.57,82.86,65.71,5th Phase
Moimolcp,Bogota-Hack-0-2017,Moimolcp,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,75,46.34,- - -,- - -,- - -,5th Phase
CamiloRueda,Bogota-Hack-0-2017,CamiloRueda,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,0,29.17,0,- - -,- - -,0,11.43,0,5th Phase
CamiloRueda,Bogota-Hack-0-2017,CamiloRueda,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,19.51,- - -,- - -,- - -,5th Phase
