Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,25,33.33,- - -,- - -,- - -,1st Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,37.5,0,- - -,- - -,43.59,71.79,0,1st Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,uxjudge4,purdueironhack+uxjudge4@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,29.17,25,- - -,- - -,43.59,38.46,48.72,1st Phase
HashNick,Bogota-Hack-2-2017,HashNick,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
ccvacad,Bogota-Hack-2-2017,ccvacad,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
ccvacad,Bogota-Hack-2-2017,ccvacad,uxjudge4,purdueironhack+uxjudge4@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,78.57,- - -,- - -,- - -,1st Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,25,0,- - -,- - -,43.59,15.38,0,1st Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,54.17,62.5,- - -,- - -,89.74,89.74,64.1,1st Phase
juasmartinezbel,Bogota-Hack-2-2017,juasmartinezbel,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,88.1,- - -,- - -,- - -,1st Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,37.5,47.62,- - -,- - -,- - -,1st Phase
mdbelloc,Bogota-Hack-2-2017,mdbelloc,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,29.17,25,- - -,- - -,0,38.46,48.72,1st Phase
CSebasGomez,Bogota-Hack-2-2017,CSebasGomez,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
CSebasGomez,Bogota-Hack-2-2017,CSebasGomez,uxjudge4,purdueironhack+uxjudge4@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,45.83,0,- - -,- - -,43.59,79.49,0,1st Phase
diegocruz10,Bogota-Hack-2-2017,diegocruz10,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,25,33.33,- - -,- - -,- - -,1st Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
crarojasca,Bogota-Hack-2-2017,crarojasca,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,43.59,15.38,0,1st Phase
sagilm,Bogota-Hack-2-2017,sagilm,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,33.33,- - -,- - -,- - -,1st Phase
sagilm,Bogota-Hack-2-2017,sagilm,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,0,25,0,- - -,- - -,0,15.38,0,1st Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,62.5,62.5,- - -,- - -,43.59,92.31,64.1,1st Phase
idrojasf,Bogota-Hack-2-2017,idrojasf,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,62.5,78.57,- - -,- - -,- - -,1st Phase
raulramirezp,Bogota-Hack-2-2017,raulramirezp,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
