Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,50,- - -,- - -,33.33,27.78,61.11,2nd Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,42.86,- - -,- - -,- - -,2nd Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,33.33,0,0,2nd Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,23.81,- - -,- - -,- - -,2nd Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,29.17,25,- - -,- - -,33.33,27.78,33.33,2nd Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,37.5,14.29,- - -,- - -,- - -,2nd Phase
HashNick,Bogota-Hack-2-2017,HashNick,uxjudge5,purdueironhack+uxjudge5@gmail.com,0,33.33,25,- - -,- - -,0,47.22,33.33,2nd Phase
HashNick,Bogota-Hack-2-2017,HashNick,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,50,23.81,- - -,- - -,- - -,2nd Phase
ccvacad,Bogota-Hack-2-2017,ccvacad,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,0,- - -,- - -,- - -,2nd Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,33.33,87.5,- - -,- - -,80.56,47.22,77.78,2nd Phase
jscontrerasp,Bogota-Hack-2-2017,joaortizro,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,87.5,83.33,- - -,- - -,- - -,2nd Phase
