Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,25,0,- - -,- - -,23.68,0,0,5th Phase
jusherrerama,Bogota-Hack-2-2017,jusherrerama,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,75,27.5,- - -,- - -,- - -,5th Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,23.68,0,0,5th Phase
bdvegat,Bogota-Hack-2-2017,bdvegat,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,17.5,- - -,- - -,- - -,5th Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,25,25,- - -,- - -,0,0,18.42,5th Phase
Phoenixest,Bogota-Hack-2-2017,Phoenixest,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,25,7.5,- - -,- - -,- - -,5th Phase
HashNick,Bogota-Hack-2-2017,HashNick,uxjudge5,purdueironhack+uxjudge5@gmail.com,40,50,25,- - -,- - -,55.26,55.26,18.42,5th Phase
HashNick,Bogota-Hack-2-2017,HashNick,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,10,- - -,- - -,- - -,5th Phase
ccvacad,Bogota-Hack-2-2017,ccvacad,uxjudge4,purdueironhack+uxjudge4@gmail.com,80,66.67,80,- - -,- - -,68.42,76.32,84.21,5th Phase
ccvacad,Bogota-Hack-2-2017,ccvacad,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,87.5,50,- - -,- - -,- - -,5th Phase
