Project,Hack,Student,Grader Name,Grader Email,User Requirement,Info Viz Score,Novelty Score,Tech Score,The % of participants whose Tech score below your score,The % of participants whose User Requirement score below your score,The % of participants whose InfoViz score below your score,The % of participants whose Nolvelty score below your score,Phase
lemartinp,Bogota-Hack-3-2017,lemartinp,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
lemartinp,Bogota-Hack-3-2017,lemartinp,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,0,33.33,0,- - -,- - -,0,63.16,0,1st Phase
juligarji,Bogota-Hack-3-2017,juligarji,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
juligarji,Bogota-Hack-3-2017,juligarji,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,62.5,- - -,- - -,34.21,31.58,78.95,1st Phase
nfmorenog,Bogota-Hack-3-2017,nfmorenog,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
nfmorenog,Bogota-Hack-3-2017,nfmorenog,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,29.17,25,- - -,- - -,0,31.58,52.63,1st Phase
AFelipeGA,Bogota-Hack-3-2017,AFelipeGA,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
AFelipeGA,Bogota-Hack-3-2017,AFelipeGA,uxjudge4,purdueironhack+uxjudge4@gmail.com,0,25,0,- - -,- - -,0,7.89,0,1st Phase
mballeng91,Bogota-Hack-3-2017,mballeng91,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
mballeng91,Bogota-Hack-3-2017,mballeng91,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
dduartec,Bogota-Hack-3-2017,dduartec,uxjudge5,purdueironhack+uxjudge5@gmail.com,0,41.67,0,- - -,- - -,0,76.32,0,1st Phase
srmedinac,Bogota-Hack-3-2017,srmedinac,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
srmedinac,Bogota-Hack-3-2017,srmedinac,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
wilson911013,Bogota-Hack-3-2017,wilson911013,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
wilson911013,Bogota-Hack-3-2017,wilson911013,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,45.83,0,- - -,- - -,34.21,78.95,0,1st Phase
wapiravaguens,Bogota-Hack-3-2017,wapiravaguens,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,62.5,77.5,- - -,- - -,- - -,1st Phase
wapiravaguens,Bogota-Hack-3-2017,wapiravaguens,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,60,54.17,62.5,- - -,- - -,89.47,81.58,78.95,1st Phase
davidh17,Bogota-Hack-3-2017,davidh17,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,45,- - -,- - -,- - -,1st Phase
davidh17,Bogota-Hack-3-2017,davidh17,uxjudge5,purdueironhack+uxjudge5@gmail.com,60,58.33,0,- - -,- - -,89.47,86.84,0,1st Phase
DianaNavarrete,Bogota-Hack-3-2017,DianaNavarrete,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,45,- - -,- - -,- - -,1st Phase
DianaNavarrete,Bogota-Hack-3-2017,DianaNavarrete,uxjudge5,purdueironhack+uxjudge5@gmail.com,0,62.5,0,- - -,- - -,0,92.11,0,1st Phase
jdmonroyg,Bogota-Hack-3-2017,jdmonroyg,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
feartheGru,Bogota-Hack-3-2017,feartheGru,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
jorge52an,Bogota-Hack-3-2017,jorge52an,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
jorge52an,Bogota-Hack-3-2017,jorge52an,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,0,- - -,- - -,34.21,31.58,0,1st Phase
jscastelblancoh,Bogota-Hack-3-2017,jscastelblancoh,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
jscastelblancoh,Bogota-Hack-3-2017,jscastelblancoh,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,60,29.17,62.5,- - -,- - -,89.47,31.58,78.95,1st Phase
juclopezso,Bogota-Hack-3-2017,juclopezso,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
juclopezso,Bogota-Hack-3-2017,juclopezso,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,25,0,- - -,- - -,34.21,7.89,0,1st Phase
afforeroc,Bogota-Hack-3-2017,afforeroc,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
afforeroc,Bogota-Hack-3-2017,afforeroc,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,33.33,0,- - -,- - -,34.21,63.16,0,1st Phase
Danielsv9207,Bogota-Hack-3-2017,Danielsv9207,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
JhonEmmanuelTorres,Bogota-Hack-3-2017,JhonEmmanuelTorres,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
dagofonseca,Bogota-Hack-3-2017,dagofonseca,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
dagofonseca,Bogota-Hack-3-2017,dagofonseca,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,34.21,7.89,0,1st Phase
lacardenasv,Bogota-Hack-3-2017,lacardenasv,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,77.5,- - -,- - -,- - -,1st Phase
lacardenasv,Bogota-Hack-3-2017,lacardenasv,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,75,- - -,- - -,34.21,31.58,92.11,1st Phase
oacastillol,Bogota-Hack-3-2017,oacastillol,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,29.17,62.5,- - -,- - -,0,31.58,78.95,1st Phase
ncampuzano,Bogota-Hack-3-2017,ncampuzano,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
ncampuzano,Bogota-Hack-3-2017,ncampuzano,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,29.17,62.5,- - -,- - -,0,31.58,78.95,1st Phase
adriel62,Bogota-Hack-3-2017,adriel62,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
adriel62,Bogota-Hack-3-2017,adriel62,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,33.33,25,- - -,- - -,34.21,63.16,52.63,1st Phase
capinzor,Bogota-Hack-3-2017,capinzor,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
capinzor,Bogota-Hack-3-2017,capinzor,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,37.5,- - -,- - -,34.21,7.89,68.42,1st Phase
ofnanezn,Bogota-Hack-3-2017,ofnanezn,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,12.5,15,- - -,- - -,- - -,1st Phase
ofnanezn,Bogota-Hack-3-2017,ofnanezn,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,0,0,- - -,- - -,0,0,0,1st Phase
macuestap,Bogota-Hack-3-2017,macuestap,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,100,95,- - -,- - -,- - -,1st Phase
macuestap,Bogota-Hack-3-2017,macuestap,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,0,25,43.75,- - -,- - -,0,7.89,71.05,1st Phase
spenas,Bogota-Hack-3-2017,spenas,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
spenas,Bogota-Hack-3-2017,spenas,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,58.33,0,- - -,- - -,34.21,86.84,0,1st Phase
kgbayala528,Bogota-Hack-3-2017,kgbayala528,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
kgbayala528,Bogota-Hack-3-2017,kgbayala528,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,37.5,0,- - -,- - -,34.21,73.68,0,1st Phase
lgmoralesa,Bogota-Hack-3-2017,lgmoralesa,purdueironhack+techjudge2@gmail.com,purdueironhack+techjudge2@gmail.com,- - -,- - -,- - -,62.5,77.5,- - -,- - -,- - -,1st Phase
lgmoralesa,Bogota-Hack-3-2017,lgmoralesa,purdueironhack+uxjudge6@gmail.com,purdueironhack+uxjudge6@gmail.com,20,29.17,25,- - -,- - -,34.21,31.58,52.63,1st Phase
ronaldsg20,Bogota-Hack-3-2017,ronaldsg20,tech grader 2,ironhacktech2@gmail.com,- - -,- - -,- - -,87.5,92.5,- - -,- - -,- - -,1st Phase
ronaldsg20,Bogota-Hack-3-2017,ronaldsg20,purdueironhack+uxjudge7@gmail.com,purdueironhack+uxjudge7@gmail.com,20,29.17,45.83,- - -,- - -,34.21,31.58,73.68,1st Phase
cccristanchoc,Bogota-Hack-3-2017,cccristanchoc,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,25,30,- - -,- - -,- - -,1st Phase
cccristanchoc,Bogota-Hack-3-2017,cccristanchoc,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,29.17,0,- - -,- - -,34.21,31.58,0,1st Phase
jmalvarezd,Bogota-Hack-3-2017,jmalvarezd,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,62.5,77.5,- - -,- - -,- - -,1st Phase
jmalvarezd,Bogota-Hack-3-2017,jmalvarezd,uxjudge5,purdueironhack+uxjudge5@gmail.com,100,79.17,87.5,- - -,- - -,97.37,97.37,97.37,1st Phase
smarquezo,Bogota-Hack-3-2017,smarquezo,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
smarquezo,Bogota-Hack-3-2017,smarquezo,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,29.17,0,- - -,- - -,34.21,31.58,0,1st Phase
sarizag,Bogota-Hack-3-2017,sarizag,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
sarizag,Bogota-Hack-3-2017,sarizag,purdueironhack+uxjudge8@gmail.com,purdueironhack+uxjudge8@gmail.com,20,25,12.5,- - -,- - -,34.21,7.89,50,1st Phase
Chranium,Bogota-Hack-3-2017,Chranium,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,0,0,- - -,- - -,- - -,1st Phase
Chranium,Bogota-Hack-3-2017,Chranium,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,0,- - -,- - -,34.21,7.89,0,1st Phase
DavidQP,Bogota-Hack-3-2017,DavidQP,purdueironhack+techjudge1@gmail.com,purdueironhack+techjudge1@gmail.com,- - -,- - -,- - -,37.5,45,- - -,- - -,- - -,1st Phase
DavidQP,Bogota-Hack-3-2017,DavidQP,uxjudge5,purdueironhack+uxjudge5@gmail.com,20,54.17,0,- - -,- - -,34.21,81.58,0,1st Phase
afceballosr,Bogota-Hack-3-2017,afceballosr,tech grader 1,ironhacktech1@gmail.com,- - -,- - -,- - -,50,52.5,- - -,- - -,- - -,1st Phase
afceballosr,Bogota-Hack-3-2017,afceballosr,uxjudge4,purdueironhack+uxjudge4@gmail.com,20,25,25,- - -,- - -,34.21,7.89,52.63,1st Phase
